Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA SETE ESTRELAS;12021741;AC;Assis Brasil;Rural;Terra indígena;Pública;"TERRA INDIGENA MAMOADATE ALDEIA EXTREMA, RIO IACO. 69935-000 Assis Brasil - AC.";(68) 35481122;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA KAJPAHA;12021750;AC;Assis Brasil;Rural;Terra indígena;Pública;"TERRA INDIGENA MAMOADATE RIO IACO, 69935-000 Assis Brasil - AC.";;Estadual;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARCILIO PONTES DOS SANTOS;12021768;AC;Acrelândia;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RIO DE JANEIRO, 1704 PREDIO PROPRIO. CENTRO. 69945-000 Acrelândia - AC.";(68) 992125814;Estadual;Não Informado;Não;Em Tramitação;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação Profissional, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.0730376;-67.0487751
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ERNESTINA RODRIGUES FERREIRA;12021792;AC;Marechal Thaumaturgo;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE FOZ DO BREU, S/N CASA. ZONA RURAL. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA RAINHA DA FLORESTA;12021830;AC;Marechal Thaumaturgo;Rural;Terra indígena;Pública;"ALDEIA VIDA NOVA - RIO BREU, S/N CASA. RIO BREU. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA BOA VISTA;12021849;AC;Marechal Thaumaturgo;Rural;Terra indígena;Pública;"COMUNIDADE ALDEIA CRUZEIRINHO, S/N CASA. RIO BREU. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC INDIGENA ASHANINKA;12021865;AC;Marechal Thaumaturgo;Rural;Terra indígena;Pública;"ALDEIA NOVA MORADA, CASA. 69983-000 Marechal Thaumaturgo - AC.";(68) 992577102;Municipal;Não Informado;Não;Em Tramitação;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ISAURA AMORIM DE LIMA;12021873;AC;Porto Walter;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA AMARIZIO SALES, 69982-000 Porto Walter - AC.";(68) 984186873;Municipal;Não Informado;Não;Em Tramitação;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-8.26944712;-72.74344801
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MARIA TEREZINHA DE JESUS SAAVEDRA;12021890;AC;Cruzeiro do Sul;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA NILO PECANHA, 1070 ESCOLA. SABOEIRO. 69980-000 Cruzeiro do Sul - AC.";(68) 999352068;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-7.6379517;-72.6858278
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC SANTA LUZIA;12021911;AC;Cruzeiro do Sul;Rural;A escola não está em área de localização diferenciada;Pública;"COMUNIDADE SANTA LUZIA- RIO VALPARAISO, RIO VALPARAISO. 69980-000 Cruzeiro do Sul - AC.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;;
